case_id,text_en,source,label_category_gold,label_triage_gold,red_flags_gold
synth2_non_urgent_nu_613,"Good evening, it's not urgent or anything but My mailbox was knocked over. Looks like a car hit it. Thank you.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_3,"Hi there, my wife has been having chest pains for maybe 15 minutes. They're shaking. I'm worried it might be their heart. Thank you.",synthetic_v2,medical,URGENT,0
synth2_non_urgent_nu_66,"Good evening, this isn't really an emergency but A tree branch fell on the sidewalk on the street. Blocking the path. Thank you.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_539,"Good evening, my neighbor is short of breath and their lips are kind of bluish. They like, have a lung condition. How long will that take?",synthetic_v2,medical,URGENT,1
synth2_critical_crit_435,Please! My baby stopped stopped breathing! They're only 1 months old! I don't know what happened! I'm so scared!,synthetic_v2,medical,CRITICAL,1
synth2_urgent_urg_51,"Hi, There's a situation here, A man is threatening people on the sidewalk. He's aggressive and yelling. I don't see um, a weapon but he's big. What should I do?",synthetic_v2,crime,URGENT,0
synth2_non_urgent_nu_600,"Hi there, it's not urgent or anything but There's a dead deer on the side of the road at the movies. No rush.",synthetic_v2,other,NON_URGENT,0
synth2_critical_crit_325,No no no! A tree fell on someone at the beach! They're pinned and screaming! I'm so scared!,synthetic_v2,medical,CRITICAL,1
synth2_non_urgent_nu_441,"Hello, not sure if this is the right number but I twisted my ankle on the sidewalk. Can put some weight on it. Is this an ER thing? No rush.",synthetic_v2,medical,NON_URGENT,0
synth2_critical_crit_298,Hurry! I found my husband unconscious with empty pill bottles! Their lips are turning blue! We need help now!,synthetic_v2,medical,CRITICAL,1
synth2_urgent_urg_700,"There's a situation here, There's been a car accident at a grocery uh, store. A couple cars involved, people are hurt but everyone seems conscious. How long will that take?",synthetic_v2,crime,URGENT,0
synth2_urgent_urg_268,"Hi, I don't know what to do, my girlfriend fell down the stairs and hit their head. They're conscious but confused and dizzy. Should I do anything?",synthetic_v2,medical,URGENT,0
synth2_critical_crit_163,Please please! my aunt just just collapsed and isn't breathing! I think it's a heart attack! I'm so scared!,synthetic_v2,medical,CRITICAL,1
synth2_non_urgent_nu_699,"Hello, it's not urgent or anything but My kid got stung by a bee. No allergic reaction, just swelling. Should I worry? Thank you.",synthetic_v2,medical,NON_URGENT,0
synth2_urgent_urg_328,"Hi, We need assistance, I found someone passed out in an apartment building. They might have taken something. They're breathing uh, but I can't wake them.",synthetic_v2,medical,URGENT,1
synth2_non_urgent_nu_413,"Hi, this isn't really an emergency but Someone keeps letting their dog poop on my lawn. Can anything be done? Thanks.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_374,I want to report a found cat. It's been in my yard for days. Thanks for your help.,synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_526,"Hey, a teenager is like, having trouble breathing. They have asthma and their inhaler isn't helping. Thank you.",synthetic_v2,medical,URGENT,1
synth2_critical_crit_114,Jesus! Someone got stabbed on the highway! They're bleeding really bad! Blood is pooling on the ground! I'm so scared!,synthetic_v2,crime,CRITICAL,1
synth2_non_urgent_nu_251,"Hi there, I found a wallet on the ground at the movies. What should I do with it? Thanks for your help.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_394,"Good evening, I can hear my neighbors fighting. Things are breaking. It sounds violent but I don't think there are weapons.",synthetic_v2,crime,URGENT,0
synth2_critical_crit_329,Oh my God! I found my brother hanging! I cut them down but they're not breathing! Please send help!,synthetic_v2,medical,CRITICAL,1
synth2_critical_crit_326,Quick! Shots fired at a coffee shop! Multiple people down! Send everything you have! They're dying!,synthetic_v2,crime,CRITICAL,1
synth2_urgent_urg_9,"Good evening, Can someone come? There's been um, a car accident at the office. A couple cars involved, people are hurt but everyone seems conscious. What should I do?",synthetic_v2,crime,URGENT,0
synth2_non_urgent_nu_245,A streetlight has been out for weeks at a church. Thank you.,synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_660,"Hi, I don't know what to do, There's a couple fighting in a dorm room. Yelling and pushing. No weapons. One person has a bloody nose. How long will that take?",synthetic_v2,crime,URGENT,0
synth2_urgent_urg_124,"Hey, We need assistance, my coworker burned their hand on the stove. Big blisters forming. Skin is really red. Can you send someone?",synthetic_v2,medical,URGENT,0
synth2_critical_crit_123,Oh God oh God! I think an elderly person is having a stroke! Half their face is drooping and they can't talk! Please come quickly!,synthetic_v2,medical,CRITICAL,1
synth2_non_urgent_nu_538,it's not urgent or anything but My 87 year old has had a nosebleed for about 5 minutes. It keeps coming back but isn't heavy. Let me know what I should do.,synthetic_v2,medical,NON_URGENT,0
synth2_urgent_urg_733,"Excuse me, I need to report something, my roommate is diabetic and they're acting really confused. Blood sugar might be low. They're shaking. How long will that take?",synthetic_v2,medical,URGENT,0
synth2_urgent_urg_431,"Hi there, Can someone come? I was just robbed at a bar. They took my bag and pushed me. I'm not badly hurt but shaken up. How long will that take?",synthetic_v2,crime,URGENT,0
synth2_critical_crit_130,Someone help! Someone is on the bridge threatening to jump! Please send help before it's too late!,synthetic_v2,crime,CRITICAL,1
synth2_urgent_urg_23,"Hi, I don't know what to do, There's a small child alone on the sidewalk. No parent around. They look scared and lost. Is someone coming?",synthetic_v2,other,URGENT,0
synth2_non_urgent_nu_352,this isn't really an emergency but Big pothole on the road in my car. Someone's gonna damage their car.,synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_83,"Yeah hi, it's not urgent or anything but My mailbox was knocked over. Looks like a car hit it. Thank you.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_556,"Yeah hi, I'm calling because Smoke coming from a car on the rooftop. Getting thicker. No flames like, visible yet. What should I do?",synthetic_v2,fire,URGENT,0
synth2_non_urgent_nu_436,"Yeah hi, I have a rash that's spreading. Not painful, just itchy. Should I go to the doctor? Thanks for your help.",synthetic_v2,medical,NON_URGENT,0
synth2_urgent_urg_88,"Hello, We need assistance, My 44 year old didn't come home like, from school. It's been over 2 hours. Phone goes to voicemail.",synthetic_v2,other,URGENT,0
synth2_urgent_urg_782,"I need to report something, a child um, has chest tightness and their arm is numb. They have a history of heart problems. Is someone coming?",synthetic_v2,medical,URGENT,1
synth2_non_urgent_nu_360,"Excuse me, this isn't really an emergency but Calling back to say the situation resolved. No need to send anyone. Let me know what I should do.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_68,"Hello, this isn't really an emergency but Loud music from a car in the parking lot for half an hour. It's shaking my windows.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_348,"Hey, A streetlight has been out for weeks at the park.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_314,"Hey, I need to report something, My 48 year old male is complaining of crushing chest pain. Started this um, morning. They look really pale. Please send help.",synthetic_v2,medical,URGENT,1
synth2_non_urgent_nu_132,"Hello, not sure if this is the right number but My back has been hurting for about 10 minutes. Nothing sudden, just wondering if I need the ER. No rush.",synthetic_v2,medical,NON_URGENT,0
synth2_non_urgent_nu_501,"this isn't really an emergency but My 15 year old bumped their head. No loss of consciousness, just a bump. When should I worry? No rush.",synthetic_v2,medical,NON_URGENT,0
synth2_urgent_urg_271,"I need help, my sister has chest tightness and their arm is numb. They have a history of heart problems. Can you send someone?",synthetic_v2,medical,URGENT,1
synth2_critical_crit_200,Please please! an an elderly person is on the floor not breathing! I'm doing chest compressions but I don't think it's working! Please come quickly!,synthetic_v2,medical,CRITICAL,1
synth2_non_urgent_nu_551,"Yeah hi, this isn't really an emergency but I want to report a lost dog. Big golden retriever, no collar, wandering at the train station. Whenever you get a chance.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_709,"Hello, this isn't really an emergency but My back has been hurting for a while now. Nothing sudden, just wondering if I need the ER.",synthetic_v2,medical,NON_URGENT,0
